Coordinates;Coordinates.x1;Coordinates.x2;Coordinates.y1;Coordinates.y2;Coordinates.z1;Coordinates.z2;Coordinates.PositionUp;Coordinates.PositionDown;Coordinates.label;Coordinates.posUpDown;Coordinates.type;Coordinates.additionalInfos;Coordinates.View;Coordinates.ShowDimension
Klimor.WebApi.DXF.Structures.Coordinates;0;2900;0;120;0;50;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;0;2900;0;120;3650;3700;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;0;50;0;120;50;3650;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;2850;2900;0;120;50;3650;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;950;1000;0;120;50;3650;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;1900;1950;0;120;50;3650;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;50;950;0;120;1825;1875;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;1000;1900;0;120;1825;1875;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;1950;2850;0;120;1825;1875;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;2900;4400;0;120;0;50;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;2900;4400;0;120;3650;3700;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;2900;2950;0;120;50;3650;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;4350;4400;0;120;50;3650;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;3625;3675;0;120;50;3650;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;50;3625;0;120;1825;1875;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;3675;1450;0;120;1825;1875;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;2950;3150;120;170;50;1825;1;1;Down_DrainTray;"";DrainTray;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;2950;3150;120;170;1875;3650;1;1;Down_DrainTray;"";DrainTray;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;4400;6100;0;120;0;50;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;4400;6100;0;120;3650;3700;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;4400;4450;0;120;50;3650;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;6050;6100;0;120;50;3650;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;5225;5275;0;120;50;3650;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;50;5225;0;120;1825;1875;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;5275;1650;0;120;1825;1875;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;10370;11720;0;120;0;50;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;10370;11720;0;120;3650;3700;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;10370;10420;0;120;50;3650;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;11670;11720;0;120;50;3650;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;11020;11070;0;120;50;3650;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;50;11020;0;120;1825;1875;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;11070;1300;0;120;1825;1875;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;2450;4400;2120;2240;0;50;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;2450;4400;2120;2240;3650;3700;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;2450;2500;2120;2240;50;3650;0;0;Frame;"";Frame;"";"";True
Klimor.WebApi.DXF.Structures.Coordinates;4350;4400;2120;2240;50;3650;0;0;Frame;"";Frame;"";"";True
